Timestamp,Server,Min_Latency,Avg_Latency,Max_Latency,Jitter,Packet_Loss
2024-10-17 11:46:06,google.com,22.596,22.638,22.708,0.029,0.0
2024-10-17 11:46:15,google.com,22.609,22.652,22.694,0.028,0.0
2024-10-17 11:46:24,google.com,22.612,22.647,22.709,0.033,0.0
2024-10-17 11:46:33,google.com,22.611,22.641,22.68,0.021,0.0
2024-10-17 11:46:42,google.com,22.62,22.694,23.114,0.141,0.0
2024-10-17 11:46:51,kasaneteto.jp,82.805,83.517,84.938,0.781,0.0
2024-10-17 11:47:00,kasaneteto.jp,82.923,83.475,84.469,0.526,0.0
2024-10-17 11:47:09,kasaneteto.jp,82.817,83.493,84.344,0.593,0.0
2024-10-17 11:47:18,kasaneteto.jp,82.976,83.346,84.597,0.508,0.0
2024-10-17 11:47:27,kasaneteto.jp,83.043,83.813,85.053,0.628,0.0
2024-10-17 11:47:37,nicovideo.jp,1.358,1.384,1.418,0.021,0.0
2024-10-17 11:47:46,nicovideo.jp,1.363,1.382,1.455,0.025,0.0
2024-10-17 11:47:55,nicovideo.jp,1.356,1.375,1.424,0.019,0.0
2024-10-17 11:48:04,nicovideo.jp,1.349,1.373,1.44,0.024,0.0
2024-10-17 11:48:13,nicovideo.jp,1.359,1.366,1.375,0.006,0.0
2024-10-17 11:48:22,a248.e.akamai.net,215.515,215.54,215.583,0.023,0.0
2024-10-17 11:48:31,a248.e.akamai.net,217.088,217.115,217.176,0.026,0.0
2024-10-17 11:48:40,a248.e.akamai.net,217.064,217.106,217.155,0.026,0.0
2024-10-17 11:48:50,a248.e.akamai.net,217.077,217.19,217.897,0.236,0.0
2024-10-17 11:48:59,a248.e.akamai.net,217.068,217.103,217.156,0.026,0.0
2024-10-17 11:49:08,facebook.com,17.413,17.475,17.553,0.055,0.0
2024-10-17 11:49:17,facebook.com,17.542,17.566,17.62,0.025,0.0
2024-10-17 11:49:26,facebook.com,17.526,17.569,17.647,0.034,0.0
2024-10-17 11:49:35,facebook.com,17.536,17.573,17.647,0.032,0.0
2024-10-17 11:49:44,facebook.com,17.54,17.56,17.586,0.014,0.0
2024-10-17 11:49:53,cloudflare.com,1.58,1.657,1.747,0.05,0.0
2024-10-17 11:50:02,cloudflare.com,1.594,1.659,1.708,0.033,0.0
2024-10-17 11:50:11,cloudflare.com,1.594,1.692,1.803,0.065,0.0
2024-10-17 11:50:20,cloudflare.com,1.581,1.688,1.796,0.059,0.0
2024-10-17 11:50:29,cloudflare.com,1.59,1.691,1.773,0.055,0.0
2024-10-17 11:50:38,amazon.com,229.514,229.549,229.624,0.034,0.0
2024-10-17 11:50:48,amazon.com,224.22,224.267,224.416,0.061,0.0
2024-10-17 11:50:57,amazon.com,227.038,227.063,227.127,0.026,0.0
2024-10-17 11:51:06,amazon.com,224.237,226.571,227.193,1.143,0.0
2024-10-17 11:51:15,amazon.com,224.833,224.867,224.92,0.027,0.0
2024-10-17 11:51:24,mynavi.jp,1.384,1.415,1.468,0.033,0.0
2024-10-17 11:51:33,mynavi.jp,1.356,1.384,1.437,0.026,0.0
2024-10-17 11:51:42,mynavi.jp,1.355,1.39,1.562,0.058,0.0
2024-10-17 11:51:52,mynavi.jp,1.364,1.393,1.504,0.039,0.0
2024-10-17 11:52:01,mynavi.jp,1.364,1.397,1.447,0.021,0.0
2024-10-17 11:52:10,tbs.co.jp,82.592,82.646,82.784,0.056,0.0
2024-10-17 11:52:19,tbs.co.jp,82.563,82.625,82.724,0.042,0.0
2024-10-17 11:52:28,tbs.co.jp,80.427,80.484,80.546,0.038,0.0
2024-10-17 11:52:37,tbs.co.jp,80.435,80.492,80.575,0.039,0.0
2024-10-17 11:52:46,tbs.co.jp,80.426,80.493,80.556,0.037,0.0
2024-10-17 11:52:55,youtube.com,24.687,24.72,24.876,0.052,0.0
2024-10-17 11:53:04,youtube.com,22.428,22.45,22.483,0.013,0.0
2024-10-17 11:53:13,youtube.com,22.406,22.435,22.453,0.012,0.0
2024-10-17 11:53:22,youtube.com,22.424,22.44,22.464,0.012,0.0
2024-10-17 11:53:31,youtube.com,22.427,22.461,22.632,0.057,0.0
2024-10-17 12:03:40,google.com,22.611,22.647,22.7,0.028,0.0
2024-10-17 12:03:49,google.com,22.609,22.785,23.371,0.289,0.0
2024-10-17 12:03:59,google.com,23.335,23.368,23.424,0.031,0.0
2024-10-17 12:04:08,google.com,23.324,23.363,23.395,0.02,0.0
2024-10-17 12:04:17,google.com,23.336,23.377,23.407,0.022,0.0
2024-10-17 12:04:26,kasaneteto.jp,82.762,83.696,84.859,0.684,0.0
2024-10-17 12:04:35,kasaneteto.jp,82.923,83.584,84.461,0.524,0.0
2024-10-17 12:04:44,kasaneteto.jp,82.904,83.88,84.438,0.51,0.0
2024-10-17 12:04:53,kasaneteto.jp,82.899,83.506,84.954,0.626,0.0
2024-10-17 12:05:02,kasaneteto.jp,82.917,84.151,86.687,0.994,0.0
2024-10-17 12:05:11,nicovideo.jp,1.355,1.374,1.434,0.021,0.0
2024-10-17 12:05:20,nicovideo.jp,1.353,1.369,1.416,0.018,0.0
2024-10-17 12:05:29,nicovideo.jp,1.353,1.389,1.466,0.04,0.0
2024-10-17 12:05:38,nicovideo.jp,1.348,1.369,1.429,0.021,0.0
2024-10-17 12:05:47,nicovideo.jp,1.368,1.388,1.443,0.027,0.0
2024-10-17 12:05:57,a248.e.akamai.net,215.511,215.542,215.599,0.022,0.0
2024-10-17 12:06:06,a248.e.akamai.net,215.517,215.545,215.643,0.039,0.0
2024-10-17 12:06:15,a248.e.akamai.net,217.079,217.105,217.14,0.019,0.0
2024-10-17 12:06:25,a248.e.akamai.net,215.507,215.531,215.554,0.012,0.0
2024-10-17 12:06:34,a248.e.akamai.net,217.088,217.108,217.161,0.021,0.0
2024-10-17 12:06:43,facebook.com,17.522,17.556,17.575,0.014,0.0
2024-10-17 12:06:52,facebook.com,17.515,17.582,17.704,0.051,0.0
2024-10-17 12:07:01,facebook.com,17.539,17.614,17.764,0.06,0.0
2024-10-17 12:07:10,facebook.com,17.537,17.551,17.558,0.006,0.0
2024-10-17 12:07:19,facebook.com,17.549,17.582,17.702,0.049,0.0
2024-10-17 12:07:28,cloudflare.com,1.584,1.701,1.799,0.065,0.0
2024-10-17 12:07:37,cloudflare.com,1.582,1.689,1.756,0.056,0.0
2024-10-17 12:07:46,cloudflare.com,1.618,1.678,1.741,0.034,0.0
2024-10-17 12:07:55,cloudflare.com,1.588,1.67,1.737,0.052,0.0
2024-10-17 12:08:04,cloudflare.com,1.575,1.675,1.738,0.054,0.0
2024-10-17 12:08:13,amazon.com,226.754,226.769,226.808,0.015,0.0
2024-10-17 12:08:23,amazon.com,226.777,226.804,226.878,0.027,0.0
2024-10-17 12:08:32,amazon.com,224.866,224.915,225.117,0.069,0.0
2024-10-17 12:08:41,amazon.com,224.52,224.542,224.583,0.019,0.0
2024-10-17 12:08:50,amazon.com,224.879,225.035,225.499,0.198,0.0
2024-10-17 12:09:00,mynavi.jp,1.369,1.391,1.438,0.022,0.0
2024-10-17 12:09:09,mynavi.jp,1.362,1.428,1.907,0.159,0.0
2024-10-17 12:09:18,mynavi.jp,1.357,1.375,1.434,0.021,0.0
2024-10-17 12:09:27,mynavi.jp,1.382,1.403,1.47,0.027,0.0
2024-10-17 12:09:36,mynavi.jp,1.352,1.37,1.394,0.012,0.0
